NY,Subbituminous Coal,2.0
NY,Water,108.0
NY,Wind,16.0
NY,Wood/Wood Waste Solids,3.0
SE,Bituminous Coal,18.0
SE,Black Liquor,14.0
SE,Blast-Furnace Gas,1.0
SE,Disillate Fuel Oil,26.0
SE,Landfill Gas,6.0
SE,Lignite,1.0
SE,Natural Gas,63.0
SE,Nuclear,5.0
SE,Other Gas,3.0
SE,Residual Fuel Oil,1.0
SE,Subbituminous Coal,3.0
SE,Waste Heat,1.0
SE,Water,35.0
SE,Wood/Wood Waste Solids,7.0
SW,Bituminous Coal,3.0
SW,Disillate Fuel Oil,3.0
SW,Geothermal,9.0
SW,Landfill Gas,1.0
SW,Natural Gas,51.0
SW,Nuclear,1.0
SW,Other Biomass Gases,1.0
SW,Solar,19.0
SW,Subbituminous Coal,4.0
SW,Water,5.0
SW,Wind,6.0
SW,Wood/Wood Waste Solids,2.0
TEN,Bituminous Coal,23.0
TEN,Black Liquor,2.0
TEN,Disillate Fuel Oil,2.0
TEN,Landfill Gas,8.0
TEN,Natural Gas,15.0
TEN,Nuclear,2.0
TEN,Solar,1.0
TEN,Subbituminous Coal,3.0
TEN,Water,24.0
TEN,Wind,2.0
TEN,Wood/Wood Waste Solids,1.0
TEX,Black Liquor,1.0
TEX,Blast-Furnace Gas,1.0
TEX,Disillate Fuel Oil,6.0
TEX,Landfill Gas,17.0
TEX,Lignite,7.0
TEX,Natural Gas,123.0
TEX,Nuclear,2.0
TEX,Other,1.0
TEX,Other Gas,4.0
TEX,Petroleum Coke,1.0
TEX,Purchased Steam,1.0
TEX,Solar,3.0
TEX,Subbituminous Coal,8.0
TEX,Waste Heat,2.0
TEX,Water,15.0
TEX,Wind,43.0
TEX,Wood/Wood Waste Solids,3.0
